Tissue,Protein,Coefficient
Multi-organ,LBP,-0.2348007704
Multi-organ,LEFTY2,0.4881177954
Multi-organ,LEP,0.190371536
Multi-organ,LGALS4,0.3161751663
Multi-organ,LHB,0.1056743802
Multi-organ,LHPP,0.1008109339
Multi-organ,LILRA2,0.1520370367
Multi-organ,LILRA5,-0.5508044683
Multi-organ,LILRB1,-0.3310916325
Multi-organ,LILRB2,0.3664877747
Multi-organ,LPO,-0.6702221116
Multi-organ,LRRC25,-0.436920921
Multi-organ,LTBP2,4.9747686103
Multi-organ,LYAR,0.0132953146
Multi-organ,LYN,-0.3071879374
Multi-organ,LYPD8,-0.1288691692
Multi-organ,MAPK9,-0.0658585869
Multi-organ,MDGA1,-0.032312214
Multi-organ,MEGF10,-0.8062149883
Multi-organ,MEP1B,0.1324157705
Multi-organ,MEPE,-1.4832691459
Multi-organ,MFGE8,-0.7194618187
Multi-organ,MLN,0.6092968815
Multi-organ,MMP8,-0.092220314
Multi-organ,MMP9,0.5435974287
Multi-organ,MNDA,-0.1109405158
Multi-organ,MOG,2.2643827051
Multi-organ,MPO,-0.0797563847
Multi-organ,MSMB,0.0722552064
Multi-organ,MUC13,-0.1869701228
Multi-organ,MZB1,-0.5630127097
Multi-organ,MZT1,0.3422219109
Multi-organ,NCAN,-0.7516700987
Multi-organ,NCF2,0.1218721771
Multi-organ,NCR1,0.2896734944
Multi-organ,NEFL,1.8020535419
Multi-organ,NPPB,0.1741218156
Multi-organ,NPTX1,0.1246607024
Multi-organ,NPTXR,-0.802318538
Multi-organ,ODAM,-0.2630879686
Multi-organ,OMG,0.45474569
Multi-organ,OSM,-0.5594472203
Multi-organ,OXT,-0.0920099642
Multi-organ,PADI4,0.2826979704
Multi-organ,PAEP,-0.460999574
Multi-organ,PGLYRP1,0.0235299788
Multi-organ,PILRA,0.3750637454
Multi-organ,PLA2G1B,-0.3942474702
Multi-organ,PLIN1,0.2838613921
Multi-organ,PNLIPRP2,0.013234377
Multi-organ,POLR2F,-0.0741663433
Multi-organ,PON3,-0.0361569082
Multi-organ,PPP3R1,0.636679426
Multi-organ,PPY,0.4420542133
Multi-organ,PRL,-0.3210790821
Multi-organ,PROC,0.1029648312
Multi-organ,PRSS2,0.0976767092
Multi-organ,PRTN3,-0.3149225718
Multi-organ,PTH1R,-0.177040216
Multi-organ,PVALB,-0.0387741611
Multi-organ,QDPR,0.1250909502
Multi-organ,RAB6B,0.0475787142
Multi-organ,RBP2,-0.2278706824
Multi-organ,REG1A,-0.6011029112
Multi-organ,REG1B,0.4377750683
Multi-organ,REG4,0.3286494628
Multi-organ,REN,-0.1216233116
Multi-organ,RETN,-0.0015713486
Multi-organ,RGS8,0.0036656997
Multi-organ,RNASE3,-0.1067327687
Multi-organ,RTN4R,0.211817067
Multi-organ,S100A12,0.1018119074
Multi-organ,SCARB1,-0.0580907383
Multi-organ,SCGB1A1,0.5850957645
Multi-organ,SCGB3A2,-0.0866360562
Multi-organ,SCRN1,0.1930563528
Multi-organ,SELPLG,0.4622421646
Multi-organ,SERPINA11,0.4656290381
Multi-organ,SERPINA12,-0.0231225037
Multi-organ,SEZ6L,-1.324136068
Multi-organ,SFTPA1,-0.0023506106
Multi-organ,SFTPA2,-0.0416253655
Multi-organ,SFTPD,0.1855679934
Multi-organ,SIGLEC5,0.0237484545
Multi-organ,SIGLEC7,0.3544327287
Multi-organ,SIGLEC9,-0.260473468
Multi-organ,SIRPB1,0.0244281205
Multi-organ,SOD2,-1.3710236648
Multi-organ,SOST,0.6555838842
Multi-organ,SPINK1,-0.6651183346
Multi-organ,SPINK4,0.1026352313
Multi-organ,SPOCK1,0.5757280156
Multi-organ,TFF1,0.4141002201
Multi-organ,TFF2,-0.3304971827
Multi-organ,THBS2,-1.8478401918
Multi-organ,TIMD4,-0.2525797983
Multi-organ,TMPRSS15,0.0395141004
Multi-organ,TMPRSS5,0.4983101661
Multi-organ,TNFRSF10C,0.124587923
Multi-organ,TNFRSF11B,1.8192331203
Multi-organ,TNFRSF1B,-0.4871935098
Multi-organ,TNNI3,-0.0009981842
Multi-organ,TNR,-0.6132135556
Multi-organ,TREML2,-0.1589129217
Multi-organ,TSHB,0.1196416822
Multi-organ,UMOD,0.0934661744
Multi-organ,VCAN,0.4710709697
Multi-organ,VNN2,0.0953012409
Multi-organ,VSIR,-0.1578528251
Multi-organ,VSTM1,-0.099007915
Multi-organ,WAS,0.0748167424
Multi-organ,WFIKKN2,-0.1949280545
Pituitary,Intercept,57.2194566187
Pituitary,CGA,1.5585830598
Pituitary,GAL,-0.7825225641
Pituitary,GH1,-0.0542031054
Pituitary,GH2,-0.2467659804
Pituitary,GHRHR,-0.0745279618
Pituitary,LHB,0.2550859809
Pituitary,PRL,-1.6675674646
Pituitary,TSHB,0.2927522937
Brain,Intercept,57.0387225125
Brain,ADAM22,1.1759674099
Brain,ADCYAP1R1,-0.2981985391
Brain,AMBN,-0.5841145706
Brain,ANGPTL7,0.8656041135
Brain,APLP1,-0.2486784601
Brain,BCAN,-6.4441474774
Brain,CA11,-0.1736799135
Brain,CA14,-3.2170848888
Brain,CNDP1,-0.1438188059
Brain,CNTN1,1.7122047633
Brain,CNTN2,1.0770212675
Brain,CNTNAP2,-0.2819914497
Brain,CRH,-0.1660187663
Brain,CRTAM,0.655094863
Brain,ENO2,-0.4686087875
Brain,FKBP1B,0.273776278
Brain,GFAP,3.1985045772
Brain,GPC5,-0.2365060036
Brain,GPR37,-0.2514713314
Brain,IDS,-2.3322236987
Brain,KCNIP4,-0.2696892164
Brain,LHPP,0.4323369773
Brain,MAPK9,0.4799448018
Brain,MDGA1,0.028331451
Brain,MEGF10,-0.1509162044
Brain,MEPE,-1.9411629114
Brain,MOG,4.5674857405
Brain,MZT1,-0.509643289
Brain,NCAN,-1.3149875045
Brain,NEFL,4.6280181899
Brain,NPTX1,0.6209478767
Brain,NPTXR,-1.306961009
Brain,OMG,0.3979666661
Brain,OXT,-0.3370457494
Brain,POLR2F,0.3000568935
Brain,PPP3R1,0.7191785962
Brain,PVALB,-0.0800591067
Brain,QDPR,-1.2782176322
Brain,RAB6B,-0.2654442589
Brain,RGS8,-0.1267848797
Brain,RTN4R,0.2095043171
Brain,SCRN1,0.4320395347
Brain,SEZ6L,0.0489300253
Brain,SPOCK1,3.6929383088
Brain,TMPRSS5,0.7891039086
Brain,TNR,-0.4456538026
Skin,Intercept,57.4386186433
Skin,BLMH,-0.0561430876
Skin,CA6,-0.9319383267
Skin,CCL27,3.3675696168
Skin,CD207,0.638236555
Skin,CDHR1,-0.735450812
Skin,CDSN,2.6212804894
Skin,CST6,-1.9740149525
Skin,DSG4,-1.3610066396
Skin,FABP9,-1.2057593051
Skin,KRT14,-0.0700854877
Skin,SERPINA12,-0.2849815126
Immune,Intercept,57.4599911747
Immune,ADAM8,-0.5083832524
Immune,ADGRE2,4.6201520114
Immune,AHSP,0.0617455193
Immune,AIF1,0.2933099134
Immune,APBB1IP,0.5111582248
Immune,AZU1,0.3637365266
Immune,BIN2,0.0048216063
Immune,BST1,-0.3195968959
Immune,CCL5,0.1343443718
Immune,CD177,0.0508461615
Immune,CD244,-0.8224989658
Immune,CD8A,-2.5069837347
Immune,CEACAM21,-0.1524659712
Immune,CEACAM3,-0.2631425236
Immune,CEACAM8,1.1169656597
Immune,CLC,0.6119209859
Immune,CLEC4D,0.3593090309
Immune,CORO1A,0.0021343581
Immune,CPPED1,-0.2627109008
Immune,CSF2RA,0.0552423275
Immune,CST7,-0.1528525691
Immune,CXCL1,-0.0194397228
Immune,CXCL13,0.2461121603
Immune,CXCL6,0.377720565
Immune,DEFA1_DEFA1B,0.3228912592
Immune,DPEP2,-0.0840660159
Immune,FASLG,-4.2875607949
Immune,FCAR,-0.0962848595
Immune,FCGR2A,0.1656539993
Immune,FCGR3B,-1.1040248389
Immune,FCRL6,0.4811823564
Immune,FGR,-0.0016544982
Immune,FMNL1,-0.6532955851
Immune,FOLR3,0.0054145215
Immune,FYB1,0.7326776523
Immune,GNLY,0.9998910921
Immune,GZMA,0.7358820772
Immune,GZMB,-0.3275127902
Immune,GZMH,0.4975370673
Immune,HBQ1,-0.6290699531
Immune,HCLS1,-0.3354643099
Immune,HMOX1,0.8057058097
Immune,ICAM3,-0.2593979218
Immune,IL17RA,-0.2862681957
Immune,IL18RAP,-0.2902504277
Immune,IL1R2,-3.8696316837
Immune,IL2RB,-0.3396160287
Immune,ITGAM,-2.1211508483
Immune,ITGB2,2.8578640692
Immune,KIR2DL3,0.5074034655
Immune,KIR3DL1,-0.0058683888
Immune,LAT2,-0.1292354589
Immune,LILRA2,0.9642784138
Immune,LILRA5,-0.8184332413
Immune,LILRB1,-0.7261231888
Immune,LILRB2,1.3323183532
Immune,LRRC25,-0.4048356965
Immune,LYN,-0.2947287177
Immune,MMP8,0.0076331765
Immune,MMP9,1.3894242241
Immune,MNDA,-0.2563207664
Immune,MPO,-0.335199674
Immune,MZB1,-1.6028361049
Immune,NCF2,-0.219759366
Immune,NCR1,1.564921615
Immune,OSM,-1.8939350707
Immune,PADI4,0.6543787295
Immune,PGLYRP1,0.4774532775
Immune,PILRA,1.3958660018
Immune,PRTN3,-1.3820455269
Immune,RETN,0.0319754383
Immune,RNASE3,-0.0116943483
Immune,S100A12,0.651531716
Immune,SELPLG,1.2749425171
Immune,SIGLEC5,-0.0655348428
Immune,SIGLEC7,3.4506819797
Immune,SIGLEC9,-0.1434291831
Immune,SIRPB1,0.0130498417
Immune,TNFRSF10C,0.4067237947
Immune,TNFRSF1B,1.5415140398
Immune,TREML2,-2.5447549506
Immune,VNN2,0.2326788845
Immune,VSIR,-0.1589218704
Immune,VSTM1,-0.3751864397
Immune,WAS,-0.1233617956
Adrenal,Intercept,57.2372771976
Adrenal,AKR1B1,-0.1260832256
Adrenal,GSTA3,0.5826767007
Adrenal,SCARB1,-0.1725670957
Conventional,Intercept,57.3293147016
Conventional,AARSD1,0.3031975644
Conventional,ABHD14B,0.0508304678
Conventional,ACAA1,0.0187693701
Conventional,ACE2,0.0225749456
Conventional,ACOX1,-0.0215521637
Conventional,ACP5,-0.2699741008
Conventional,ACP6,-0.0093780088
Conventional,ACTA2,0.5594024693
Conventional,ACTN4,-0.0138396513
Conventional,ACVRL1,-0.1670198869
Conventional,ACY1,0.2029092201
Conventional,ADA,-0.3622209473
Conventional,ADA2,-0.4197749307
Conventional,ADAM15,0.015644646
Conventional,ADAM22,0.1330337932
Conventional,ADAM23,-0.0069221999
Conventional,ADAMTS13,-0.3481869312
Conventional,ADAMTS15,-0.4563235203
Conventional,ADAMTS16,0.3806853618
Conventional,ADAMTS8,0.0381398103
Conventional,ADCYAP1R1,-0.0329507143
Conventional,ADGRB3,0.0397877598
Conventional,ADGRE2,0.5097035292
Conventional,ADGRE5,0.1669088118
Conventional,ADGRG1,0.2026176346
Conventional,ADGRG2,-0.0205322587
Conventional,ADH4,0.0586950333
Conventional,ADM,0.6940574179
Conventional,AFP,0.4326702749
Conventional,AGER,-0.6819157505
Conventional,AGR2,0.0112734078
Conventional,AGR3,-0.0026667669
Conventional,AGRN,-0.1500203995
Conventional,AGRP,-0.7242560515
Conventional,AGXT,-0.0376185467
Conventional,AHCY,0.1591549996
Conventional,AHSP,-0.0583840407
Conventional,AIF1,0.0213560181
Conventional,AIFM1,-0.0679619226
Conventional,AK1,0.058149166
Conventional,AKR1B1,-0.0253369492
Conventional,AKR1C4,0.0035586782
Conventional,AKT1S1,0.0102106579
Conventional,AKT3,-0.0781959568
Conventional,ALCAM,0.4131870094
Conventional,ALDH3A1,-0.0228122639
Conventional,ALPP,0.011813101
Conventional,AMBP,-0.1664123462
Conventional,AMFR,0.0457213347
Conventional,AMIGO2,-0.2695771688
Conventional,AMN,-0.0418380493
Conventional,AMY2A,0.0977851685
Conventional,AMY2B,-0.0621636014
Conventional,ANG,-0.0210462135
Conventional,ANGPT1,0.230342512
Conventional,ANGPT2,-0.3959593093
Conventional,ANGPTL1,-0.3570993514
Conventional,ANGPTL2,-0.0564756973
Conventional,ANGPTL3,-0.0845067487
Conventional,ANGPTL4,0.1830528267
Conventional,ANGPTL7,0.0830944169
Conventional,ANKRD54,-0.0191660566
Conventional,ANXA10,0.1062477769
Conventional,ANXA11,-0.0102273186
Conventional,ANXA3,0.0563143542
Conventional,ANXA4,-0.0316689099
Conventional,ANXA5,-0.0277637644
Conventional,AOC1,-0.0128970146
Conventional,AOC3,-0.0207729702
Conventional,APBB1IP,-0.0706784998
Conventional,APEX1,0.0139375497
Conventional,APLP1,-0.1809225036
Conventional,APOH,-0.0436760785
Conventional,APOM,-0.2049657836
Conventional,APP,-0.0325477464
Conventional,APRT,-0.1053869649
Conventional,AREG,0.0736577148
Conventional,ARG1,0.1342326062
Conventional,ARHGAP1,-0.003748805
Conventional,ARHGAP25,-0.0896462008
Conventional,ARID4B,0.0660519564
Conventional,ARNT,-0.1022432853
Conventional,ARSA,0.144734528
Conventional,ARSB,-0.0326559257
Conventional,ART3,-0.4238643891
Conventional,ARTN,-0.0529831775
Conventional,ASAH2,-0.0547355585
Conventional,ASGR1,-0.0485691482
Conventional,ATF2,-0.0223382588
Conventional,ATG4A,-0.0130403088
Conventional,ATOX1,-0.06285501
Conventional,ATP5IF1,-0.0968678199
Conventional,ATP5PO,-0.0076900075
Conventional,ATP6AP2,-0.0847091934
Conventional,ATP6V1D,0.0284563866
Conventional,ATP6V1F,0.0974907251
Conventional,ATXN10,-0.0448067579
Conventional,AXIN1,-0.001435825
Conventional,AZU1,-0.0640297466
Conventional,B4GALT1,-0.2186181152
Conventional,B4GAT1,0.5247920141
Conventional,BACH1,0.0295174489
Conventional,BAG3,-0.2004468994
Conventional,BAG6,0.0583078529
Conventional,BAIAP2,0.0111184685
Conventional,BAMBI,0.0593341973
Conventional,BANK1,-0.0745291904
Conventional,BAX,0.0366636537
Conventional,BCAN,-0.541487534
Conventional,BCL2L11,0.3916181822
Conventional,BCR,0.008698469
Conventional,BGN,0.0426993767
Conventional,BID,0.1426408414
Conventional,BIN2,-0.0321729475
Conventional,BIRC2,-0.0567763806
Conventional,BLMH,-0.2267736993
Conventional,BLVRB,-0.0492731021
Conventional,BMP4,-0.0098152279
Conventional,BMP6,-0.0045127705
Conventional,BOC,-0.6226789872
Conventional,BPIFB1,0.0385074299
Conventional,BSG,-0.4207114322
Conventional,BST1,-0.0688022964
Conventional,BST2,-0.0475315364
Conventional,BTC,0.0201829017
Conventional,C19orf12,-0.1317280328
Conventional,C1QA,0.104887421
Conventional,C1QTNF1,-0.0480605596
Conventional,C2,0.042426275
Conventional,C2CD2L,0.0047744687
Conventional,C4BPB,0.3326773177
Conventional,CA1,-0.0370318013
Conventional,CA11,-0.0455011181
Conventional,CA12,-0.3694417604
Conventional,CA13,-0.0356067955
Conventional,CA14,-0.3745056054
Conventional,CA2,0.0437777586
Conventional,CA3,-0.0974179188
Conventional,CA4,-0.5156193068
Conventional,CA5A,-0.0474184994
Conventional,CA6,-0.0053975646
Conventional,CALB1,0.266340071
Conventional,CALB2,-0.0913865152
Conventional,CALCA,0.1424498755
Conventional,CALCOCO1,-0.0810528243
Conventional,CANT1,0.2169690143
Conventional,CAPG,-0.0787822319
Conventional,CARHSP1,0.104094828
Conventional,CASP10,0.0367559658
Conventional,CASP2,0.0058663176
Conventional,CASP3,-0.0624738581
Conventional,CASP8,0.2679525172
Conventional,CBLIF,0.0086843559
Conventional,CBLN4,-0.1331608779
Conventional,CCDC80,1.2225406074
Conventional,CCL11,0.4909877148
Conventional,CCL13,0.1353716024
Conventional,CCL15,-0.0340198293
Conventional,CCL17,-0.0718977692
Conventional,CCL18,-0.0011074559
Conventional,CCL19,0.0359834569
Conventional,CCL2,-0.16597522
Conventional,CCL20,-0.0841451133
Conventional,CCL21,0.0719261027
Conventional,CCL22,-0.1290026611
Conventional,CCL23,-0.1161618541
Conventional,CCL24,-0.0154709788
Conventional,CCL25,0.1630559886
Conventional,CCL26,-0.0191231752
Conventional,CCL27,0.2052797413
Conventional,CCL28,0.2376004845
Conventional,CCL3,0.0403872302
Conventional,CCL4,0.0352202481
Conventional,CCL5,-0.0620605903
Conventional,CCL7,-0.0887739559
Conventional,CCL8,-0.0471262767
Conventional,CCN1,0.1955072211
Conventional,CCN3,0.3592250623
Conventional,CCN4,-0.0217194476
Conventional,CCN5,0.6851951573
Conventional,CCS,-0.0037706282
Conventional,CCT5,-0.0405310054
Conventional,CD109,0.0750163713
Conventional,CD14,-0.0297510457
Conventional,CD160,-0.2280708029
Conventional,CD163,-0.3199029393
Conventional,CD164,0.0499132255
Conventional,CD1C,-0.3853679245
Conventional,CD200,-0.1811277469
Conventional,CD200R1,0.0838762786
Conventional,CD207,-0.0080555774
Conventional,CD209,0.3118449141
Conventional,CD22,0.0331227181
Conventional,CD244,0.0099668652
Conventional,CD27,0.0356244282
Conventional,CD274,-0.2665438308
Conventional,CD276,0.025996265
Conventional,CD28,-0.0287932343
Conventional,CD2AP,-0.1520809425
Conventional,CD300C,-0.1030603774
Conventional,CD300E,-0.0931465239
Conventional,CD300LF,-0.0409358721
Conventional,CD302,0.050507326
Conventional,CD33,0.0107341891
Conventional,CD34,-0.0640652352
Conventional,CD38,0.0490800333
Conventional,CD4,0.0138754496
Conventional,CD40,0.034320269
Conventional,CD40LG,-0.1111597634
Conventional,CD46,0.0610420193
Conventional,CD5,-0.1757735176
Conventional,CD59,-0.1278956709
Conventional,CD6,0.035722035
Conventional,CD63,0.0813138994
Conventional,CD69,0.0931157014
Conventional,CD70,0.0897500167
Conventional,CD74,-0.1149461052
Conventional,CD79B,-0.1416960523
Conventional,CD83,-0.608821853
Conventional,CD84,0.0865235492
Conventional,CD8A,-0.2304583955
Conventional,CD99,0.2294052142
Conventional,CD99L2,-0.3304838219
Conventional,CDC27,0.0571652138
Conventional,CDC37,-0.1627324306
Conventional,CDCP1,0.7155403846
Conventional,CDH1,-0.0869372208
Conventional,CDH15,0.043612243
Conventional,CDH17,0.0188580443
Conventional,CDH2,0.1915233522
Conventional,CDH3,-0.5890417195
Conventional,CDH5,-0.1533629452
Conventional,CDH6,-0.1166263752
Conventional,CDHR1,-0.0548221831
Conventional,CDHR2,0.3344412426
Conventional,CDHR5,0.1226317318
Conventional,CDKN1A,-0.0391923422
Conventional,CDKN2D,-0.0315104413
Conventional,CDON,-1.0216701851
Conventional,CDSN,0.0589089619
Conventional,CEACAM1,0.2177307477
Conventional,CEACAM21,0.021917204
Conventional,CEACAM5,0.091630373
Conventional,CEACAM8,0.0225390411
Conventional,CELA3A,-0.240462993
Conventional,CEP164,0.0405785771
Conventional,CEP20,-0.0026894624
Conventional,CEP43,-0.1256345435
Conventional,CEP85,0.0327530488
Conventional,CES1,0.099211573
Conventional,CES2,-0.1242500242
Conventional,CES3,0.0560152639
Conventional,CETN2,-0.0841997464
Conventional,CFC1,0.1130047973
Conventional,CGA,-0.1493345619
Conventional,CGREF1,-0.0103756894
Conventional,CHAC2,-0.1133114446
Conventional,CHEK2,0.0462222915
Conventional,CHGB,0.3739412664
Conventional,CHIT1,0.0352914571
Conventional,CHL1,-0.1052818375
Conventional,CHMP1A,0.1991239163
Conventional,CHRDL1,0.9489739612
Conventional,CHRDL2,-0.1909789777
Conventional,CKAP4,-0.6745593386
Conventional,CKMT1A_CKMT1B,0.041127011
Conventional,CLC,-0.0670835506
Conventional,CLEC10A,-0.1375633156
Conventional,CLEC11A,-0.1607739003
Conventional,CLEC14A,-0.4525388736
Conventional,CLEC1A,-0.2553410219
Conventional,CLEC1B,0.0295515451
Conventional,CLEC4A,-0.2136500214
Conventional,CLEC4C,-0.0014443598
Conventional,CLEC4D,0.0233480274
Conventional,CLEC4G,0.1631272471
Conventional,CLEC5A,0.3162612196
Conventional,CLEC7A,-0.011330498
Conventional,CLIP2,0.0254125574
Conventional,CLMP,-0.2325395207
Conventional,CLPP,0.0588629563
Conventional,CLPS,0.0012103879
Conventional,CLSPN,0.031682865
Conventional,CLSTN1,0.0444687805
Conventional,CLSTN2,0.0252403504
Conventional,CLTA,0.0338544202
Conventional,CLUL1,0.0815282114
Conventional,CNDP1,0.1434819649
Conventional,CNPY2,-0.0280027826
Conventional,CNPY4,0.0521563535
Conventional,CNST,0.0302314495
Conventional,CNTN1,0.4009584178
Conventional,CNTN2,0.0652433999
Conventional,CNTN3,0.0991710778
Conventional,CNTN5,0.3553056869
Conventional,CNTNAP2,-0.097119178
Conventional,COL1A1,0.193754235
Conventional,COL4A1,-0.3604232091
Conventional,COL6A3,-1.191995323
Conventional,COL9A1,-0.1673546765
Conventional,COLEC12,0.3469111179
Conventional,COMP,0.3143396725
Conventional,COPE,0.0189419605
Conventional,CORO1A,-0.0381271576
Conventional,COX5B,-0.0133415659
