Tissue,Protein,Coefficient
Organismal,ASRGL1,0.0097757556
Organismal,ASS1,0.0745323677
Organismal,ATG4A,-0.0443784988
Organismal,ATOX1,-0.0267819694
Organismal,ATP1B1,0.010275151
Organismal,ATP2B4,-0.0074970013
Organismal,ATP5F1D,0.0114690894
Organismal,ATP5IF1,-0.0516529909
Organismal,ATP6V1F,0.1297386342
Organismal,ATRAID,-0.0003482408
Organismal,ATXN10,-0.0284145577
Organismal,ATXN2,-0.0046209341
Organismal,ATXN3,-0.0547992775
Organismal,AXL,-0.0276496606
Organismal,B2M,-0.0574205108
Organismal,B3GNT7,0.1442812286
Organismal,B4GAT1,0.3778066516
Organismal,BACH1,7.49249e-05
Organismal,BAG3,-0.2728404305
Organismal,BANK1,-0.0024959461
Organismal,BAP18,0.0603062842
Organismal,BAX,0.0054859329
Organismal,BCAM,-0.0369247515
Organismal,BCAT1,0.1823192032
Organismal,BCHE,0.1031671298
Organismal,BCL2,0.0595026276
Organismal,BCL2L1,0.050383337
Organismal,BCL2L11,0.1724222907
Organismal,BCL7A,-0.0147793945
Organismal,BCR,0.0420186534
Organismal,BDNF,0.1663946965
Organismal,BEX3,0.0151595767
Organismal,BGLAP,-0.1000350255
Organismal,BHLHE40,0.0192279536
Organismal,BID,0.1298200832
Organismal,BIRC2,-0.0172296473
Organismal,BLNK,-0.0765926308
Organismal,BLOC1S2,-0.017556604
Organismal,BLVRB,-0.0847406065
Organismal,BNIP2,-0.0229248652
Organismal,BNIP3L,0.0101764067
Organismal,BOC,-0.5658752919
Organismal,BOLA1,0.0183229403
Organismal,BPIFB1,-0.0094219084
Organismal,BRD1,-0.0353863862
Organismal,BRD2,0.008486001
Organismal,BRD3,0.0773705108
Organismal,BRK1,0.0031551184
Organismal,BRSK2,-0.0434243167
Organismal,BSG,-0.2370946723
Organismal,BST2,-0.0803652246
Organismal,BTC,0.0218464753
Organismal,BTLA,0.0202671512
Organismal,BTN1A1,0.0292287556
Organismal,BTNL10,0.1186573193
Organismal,C19orf12,-0.1357262148
Organismal,C1QBP,0.0330399108
Organismal,C1QTNF5,0.1012580636
Organismal,C1QTNF6,-0.0842973205
Organismal,C1QTNF9,-0.0219027581
Organismal,C1R,0.0509680923
Organismal,C1RL,-0.0415913407
Organismal,C1S,0.2262825152
Organismal,C2CD2L,-0.0045575697
Organismal,C2orf69,0.0312129414
Organismal,C3,0.0152698224
Organismal,C9orf40,-0.0939117205
Organismal,CA1,-0.0661089973
Organismal,CA12,-0.2586742526
Organismal,CA2,0.0236772047
Organismal,CA4,-0.5483755696
Organismal,CA8,0.0108520638
Organismal,CABP2,-0.0286601013
Organismal,CACNA1H,0.0155972456
Organismal,CACNB3,-0.0977641055
Organismal,CACYBP,-0.0059945996
Organismal,CADPS,-0.0326480004
Organismal,CALB1,0.3423137628
Organismal,CALB2,-0.1145671421
Organismal,CALCA,0.0976559654
Organismal,CALCB,-0.1529652792
Organismal,CALCOCO1,-0.1291707091
Organismal,CALY,0.0147586535
Organismal,CAMLG,0.0017077684
Organismal,CAMSAP1,0.0632875987
Organismal,CAPG,-0.0214525437
Organismal,CAPN3,-0.0001416562
Organismal,CAPS,0.1080061288
Organismal,CARHSP1,0.1073290898
Organismal,CASP1,0.0256248442
Organismal,CASP10,0.0041936785
Organismal,CASP3,-0.0022269719
Organismal,CASP4,0.0054895193
Organismal,CASP8,0.2941726893
Organismal,CASP9,0.0532738515
Organismal,CBLN4,-0.0797240854
Organismal,CBS,0.026566156
Organismal,CCAR2,-0.0155023848
Organismal,CCDC50,-0.0295252331
Organismal,CCDC80,1.3224288444
Organismal,CCER2,-0.0982713046
Organismal,CCL11,0.4664069929
Organismal,CCL13,0.1844926367
Organismal,CCL14,-0.0749257225
Organismal,CCL15,-0.0462035681
Organismal,CCL17,-0.030260997
Organismal,CCL19,0.0364534783
Organismal,CCL2,-0.2119028869
Organismal,CCL20,-0.0803095464
Organismal,CCL21,0.0214856096
Organismal,CCL22,-0.1353261281
Organismal,CCL23,-0.0276021363
Organismal,CCL24,-0.0253643625
Organismal,CCL26,-0.0098550092
Organismal,CCL3,0.0672376287
Organismal,CCL4,0.0162054928
Organismal,CCL7,-0.0992381175
Organismal,CCL8,-0.0482258244
Organismal,CCN1,0.3024485449
Organismal,CCN3,0.6218044153
Organismal,CCN4,-0.061732332
Organismal,CCN5,0.7429260355
Organismal,CCS,0.0021077471
Organismal,CD109,0.0110079587
Organismal,CD14,-0.0783148763
Organismal,CD160,-0.2000887851
Organismal,CD163,-0.0583912488
Organismal,CD164L2,0.0390412106
Organismal,CD1C,-0.3740311848
Organismal,CD2,-0.0234922072
Organismal,CD200R1,0.0569755624
Organismal,CD209,0.2158501044
Organismal,CD248,0.6945535881
Organismal,CD27,-0.0291946136
Organismal,CD274,-0.1659968146
Organismal,CD276,0.0567297369
Organismal,CD2AP,-0.1697069775
Organismal,CD300C,-0.1042450076
Organismal,CD300E,-0.0244090293
Organismal,CD300LF,-0.0485060909
Organismal,CD33,0.007697137
Organismal,CD36,-0.0816653616
Organismal,CD38,0.0639373292
Organismal,CD3E,-0.0430061765
Organismal,CD3G,0.0012739106
Organismal,CD4,0.074675117
Organismal,CD40LG,-0.1081739478
Organismal,CD46,0.0125947169
Organismal,CD5,-0.1573374328
Organismal,CD55,0.1049011398
Organismal,CD58,-0.1644696341
Organismal,CD59,-0.0186375636
Organismal,CD63,0.0285086445
Organismal,CD70,0.0902308581
Organismal,CD79B,-0.0994293429
Organismal,CD83,-0.4178825265
Organismal,CD84,0.0722614799
Organismal,CD93,-0.5944099806
Organismal,CD99L2,-0.3194927737
Organismal,CDC123,-0.0693323235
Organismal,CDC37,-0.0846042099
Organismal,CDC42BPB,0.1330641069
Organismal,CDCP1,0.7900622791
Organismal,CDH1,-0.031590196
Organismal,CDH15,0.1256030077
Organismal,CDH2,0.2598239037
Organismal,CDH3,-0.5054226431
Organismal,CDH4,-0.0211364359
Organismal,CDH6,-0.012762129
Organismal,CDK5RAP3,-0.0445785097
Organismal,CDKL5,0.0016457279
Organismal,CDKN1A,-0.0001156958
Organismal,CDNF,-0.0582165957
Organismal,CDON,-0.9748191143
Organismal,CEACAM1,0.1917109568
Organismal,CEACAM16,0.0081839344
Organismal,CEACAM19,0.1143540258
Organismal,CEACAM5,0.0824565582
Organismal,CEACAM6,-0.1371177137
Organismal,CEBPA,-0.0020097445
Organismal,CELSR2,-0.2193762683
Organismal,CENPJ,-0.0115796057
Organismal,CEP112,0.0563226058
Organismal,CEP164,0.005071389
Organismal,CEP20,-0.0439973955
Organismal,CEP43,-0.0360270892
Organismal,CEP85,0.0247663033
Organismal,CES1,-0.0014969439
Organismal,CES2,-0.0599908176
Organismal,CES3,0.0480863531
Organismal,CETN2,-0.0124324179
Organismal,CFC1,0.0722557052
Organismal,CFD,-0.0164353771
Organismal,CFI,0.0180425295
Organismal,CGB3_CGB5_CGB8,0.1682372782
Organismal,CGREF1,-0.0801596981
Organismal,CHAC2,-0.0367346629
Organismal,CHAD,0.0771081814
Organismal,CHCHD10,-0.2330246026
Organismal,CHCHD6,-0.118015216
Organismal,CHGA,0.1864121451
Organismal,CHGB,0.4790541796
Organismal,CHI3L1,-0.001942637
Organismal,CHIT1,0.0286687293
Organismal,CHM,0.0047294941
Organismal,CHMP1A,0.0764670148
Organismal,CHP1,-0.0161380003
Organismal,CHRDL1,1.0116217935
Organismal,CHRDL2,-0.1935644413
Organismal,CILP,0.234346949
Organismal,CIT,0.0287412582
Organismal,CKAP4,-0.5311859528
Organismal,CKB,0.043882413
Organismal,CLASP1,-0.0119244844
Organismal,CLEC10A,-0.1047796298
Organismal,CLEC11A,-0.0753213962
Organismal,CLEC14A,-0.3393202859
Organismal,CLEC1A,-0.1736415645
Organismal,CLEC3B,-0.2056282034
Organismal,CLEC4A,-0.2671085704
Organismal,CLEC4C,0.0170197065
Organismal,CLEC4G,0.0496046717
Organismal,CLEC5A,0.1549227226
Organismal,CLIC5,0.0050700631
Organismal,CLMP,-0.2683867472
Organismal,CLNS1A,0.0706725016
Organismal,CLPP,0.0539315462
Organismal,CLSTN1,0.0005596555
Organismal,CLSTN3,-0.0281394553
Organismal,CLTA,0.0059603268
Organismal,CLUL1,0.056564078
Organismal,CMC1,-0.0378333196
Organismal,CMIP,0.1526650998
Organismal,CNGB3,-0.0064014254
Organismal,CNPY4,0.0067839777
Organismal,CNTN3,0.169927285
Organismal,CNTN5,0.3623031157
Organismal,COL15A1,-0.6057706969
Organismal,COL24A1,-0.0888038478
Organismal,COL2A1,-0.0383518749
Organismal,COL3A1,-0.3355138681
Organismal,COL4A1,-0.3177088828
Organismal,COL5A1,-0.1903899074
Organismal,COL6A3,-0.9249033837
Organismal,COL9A1,-0.1117209523
Organismal,COLEC12,0.30959879
Organismal,COMMD9,0.0391357577
Organismal,COMP,0.0334134994
Organismal,COPE,0.0203660302
Organismal,COQ7,0.0628043589
Organismal,CORO6,-0.0571850424
Organismal,CPA4,-0.0088553483
Organismal,CPE,0.057175148
Organismal,CPM,-0.0801274811
Organismal,CPQ,0.0067232284
Organismal,CPTP,0.0760069217
Organismal,CPVL,-0.05609356
Organismal,CR2,-0.3526789535
Organismal,CRACR2A,-0.0904010346
Organismal,CRADD,0.106156829
Organismal,CREB3,0.0134404793
Organismal,CREG1,0.0923814443
Organismal,CRHBP,0.1146493623
Organismal,CRHR1,0.0235950916
Organismal,CRIM1,-0.3980706055
Organismal,CRIP2,0.0574651797
Organismal,CRTAC1,0.840049937
Organismal,CRX,-0.019076043
Organismal,CRYBB2,0.2176472236
Organismal,CRYGD,-0.0008165327
Organismal,CRYM,-0.0110745187
Organismal,CSF3,-0.1941087243
Organismal,CSNK2A1,0.0156396888
Organismal,CSPG4,0.2111145893
Organismal,CSRP3,-0.0063947403
Organismal,CSTB,-0.0615446394
Organismal,CTAG1A_CTAG1B,-0.0410796648
Organismal,CTBS,0.091780878
Organismal,CTF1,-0.0177374593
Organismal,CTHRC1,0.7444552309
Organismal,CTNNA1,0.0238510041
Organismal,CTSB,-0.0113353836
Organismal,CTSC,0.0264453514
Organismal,CTSD,0.0726538562
Organismal,CTSF,0.1693913639
Organismal,CTSH,-0.005003261
Organismal,CTSL,0.0698991913
Organismal,CTSO,0.0122384102
Organismal,CTSV,-0.5420957511
Organismal,CTSZ,0.0284525116
Organismal,CWC15,0.0128302382
Organismal,CXADR,-0.0557884237
Organismal,CXCL10,0.0691731375
Organismal,CXCL12,-0.2509029358
Organismal,CXCL14,0.3498605039
Organismal,CXCL16,-0.1592544092
Organismal,CXCL17,1.4748163523
Organismal,CXCL3,0.0578445288
Organismal,CXCL8,0.0080748382
Organismal,CXCL9,0.1947200559
Organismal,CYB5A,-0.0356417791
Organismal,CYB5R2,0.0982491221
Organismal,CYTH3,-0.0158845567
Organismal,DAB2,0.203904792
Organismal,DAG1,0.1925890792
Organismal,DAND5,0.0142721365
Organismal,DAPK2,-0.0322925948
Organismal,DAPP1,0.2090398983
Organismal,DARS1,0.0903789843
Organismal,DBH,0.0031941643
Organismal,DBI,-0.0846504205
Organismal,DCBLD2,0.2888249175
Organismal,DCC,-0.1208146744
Organismal,DCDC2C,0.0030787003
Organismal,DCN,0.4926635331
Organismal,DCTD,0.0134737815
Organismal,DCTN6,-0.0575437034
Organismal,DCTPP1,0.0370099859
Organismal,DCUN1D2,0.02162988
Organismal,DDC,0.038847773
Organismal,DDT,0.0329373673
Organismal,DDX25,-0.0556376033
Organismal,DEFB103A_DEFB103B,0.0207898667
Organismal,DEFB104A_DEFB104B,-0.0301439979
Organismal,DEFB116,0.02104833
Organismal,DFFA,-0.1339844945
Organismal,DHPS,-0.0124066601
Organismal,DIABLO,0.1078227801
Organismal,DIPK2B,-0.0434921976
Organismal,DKK1,-0.0379489685
Organismal,DKK3,0.5908601449
Organismal,DKK4,-0.0091136477
Organismal,DLK1,0.4954252477
Organismal,DLL4,-0.0133294409
Organismal,DMP1,-0.1557034603
Organismal,DNAJA1,-0.0086556262
Organismal,DNAJB2,-0.1342205415
Organismal,DNAJB6,-0.0408299522
Organismal,DNAJC21,0.0430249514
Organismal,DNLZ,0.0153505641
Organismal,DNPEP,0.2115551566
Organismal,DOC2B,0.0127400943
Organismal,DOCK9,0.0364565191
Organismal,DPEP1,0.0527894087
Organismal,DPP10,-0.0605960862
Organismal,DPP4,-0.1342268046
Organismal,DPP6,0.1684696222
Organismal,DPT,0.3537627375
Organismal,DPY30,-0.0648138296
Organismal,DRAXIN,-0.0557776983
Organismal,DRG2,0.0161527675
Organismal,DSC2,0.1451608269
Organismal,DSCAM,-0.0536732634
Organismal,DSG2,-0.13393142
Organismal,DSG3,-0.0352109613
Organismal,DTX3,0.3206185012
Organismal,DUOX2,0.0201663881
Organismal,DUSP13,-0.1699237674
Organismal,DXO,0.0446827562
Organismal,DYNC1H1,0.0143670931
Organismal,EBAG9,0.0274299677
Organismal,EBI3_IL27,0.2248907542
Organismal,ECE1,-0.1546660879
Organismal,ECHDC3,-0.0928861931
Organismal,ECHS1,-0.0168961156
Organismal,ECI2,-0.0259002279
Organismal,ECM1,-0.0084380988
Organismal,ECSCR,0.0591983004
Organismal,EDA2R,1.6530644871
Organismal,EDDM3B,0.0510219525
Organismal,EDF1,-0.0142780266
Organismal,EDIL3,-0.0035075094
Organismal,EDN1,-0.2402669488
Organismal,EFEMP1,1.0848448657
Organismal,EFHD1,0.2896907809
Organismal,EFNA1,-0.1555317141
Organismal,EFNA4,-0.3208693672
Organismal,EFNB2,0.0081501935
Organismal,EGF,-0.0568431887
Organismal,EGFLAM,0.0330343938
Organismal,EGFR,-0.7020038644
Organismal,EHD3,-0.087468554
Organismal,EIF1AX,0.0234047708
Organismal,EIF2AK3,0.0442240118
Organismal,EIF2S2,0.0644216254
Organismal,EIF4EBP1,-0.0119367921
Organismal,EIF4G1,-0.086516339
Organismal,EIF5,0.0184081365
Organismal,ELAC1,0.0230318542
Organismal,ELOB,-0.0430267465
Organismal,ENAH,-0.0214407435
Organismal,ENDOU,0.1041516043
Organismal,ENG,-0.6911392777
Organismal,ENPEP,-0.018276757
Organismal,ENPP2,-0.4550334986
Organismal,ENPP5,-0.1616048891
Organismal,ENPP7,0.0030628603
Organismal,ENTPD2,-0.0051478047
Organismal,ENTPD5,-0.0085527725
Organismal,ENTPD6,-0.149477037
Organismal,EP300,0.0327196788
Organismal,EPB41L5,-0.0016294502
Organismal,EPCAM,-0.0617976009
Organismal,EPGN,-0.0310659603
Organismal,EPHA1,0.2355453117
Organismal,EPHA10,0.0177881034
Organismal,EPHA2,0.0585342435
Organismal,EPHA4,-0.5632717608
Organismal,EPHB4,-0.1650088957
Organismal,EPHB6,-0.2596169251
Organismal,EPHX2,-0.0331730572
Organismal,EPN1,0.0414773557
Organismal,ERBB4,0.550670944
Organismal,ERC2,-0.0021671469
Organismal,ERCC1,0.0001402243
Organismal,EREG,0.1180439628
Organismal,ERN1,0.0284002671
Organismal,ERP29,-0.1131304567
Organismal,ERP44,0.0806317248
Organismal,ERVV-1,-0.0138728852
Organismal,EZR,-0.1028217135
Organismal,F10,-0.2730842235
Organismal,F11R,-0.4361998468
Organismal,F2R,0.0258750281
Organismal,F3,0.2104765342
Organismal,FABP1,0.0525079225
Organismal,FABP5,-0.22176225
Organismal,FAM13A,-0.1550468781
Organismal,FAM171B,-0.0178968616
Organismal,FAM172A,-0.0153613233
Organismal,FAM3B,-0.0666836543
Organismal,FAP,0.5305854123
Organismal,FARSA,0.0051531658
Organismal,FAS,0.1314197748
Organismal,FBLN2,-0.7817012587
Organismal,FBN2,-0.0724774794
Organismal,FCAMR,0.0412078694
Organismal,FCER1A,0.0121616435
Organismal,FCER2,0.0396605029
Organismal,FCGR2B,0.0281258281
Organismal,FCN2,0.0694301106
Organismal,FCRL1,-0.0319146886
Organismal,FCRL2,0.3064320593
Organismal,FCRL3,0.0012689248
Organismal,FCRL5,-0.1752761919
Organismal,FCRLB,-0.0453610218
Organismal,FDX2,-0.0237738514
Organismal,FES,0.1087470762
Organismal,FGF12,-0.0193546398
Organismal,FGF16,0.053049067
Organismal,FGF19,0.0309527084
Organismal,FGF2,-0.0354053115
Organismal,FGF20,0.0061140477
Organismal,FGF23,-0.2076902387
Organismal,FGF5,0.3550469408
Organismal,FGF7,-0.0217764136
Organismal,FGFBP1,-0.0431396572
Organismal,FGFBP2,0.0491238151
Organismal,FGFBP3,0.3883371707
Organismal,FGFR4,-0.0545634853
Organismal,FH,-0.0110536044
Organismal,FHIP2A,0.0037405561
Organismal,FHIT,-0.0250467809
Organismal,FIS1,-0.100846709
Organismal,FKBP14,-0.0201006527
Organismal,FKBP4,-0.1478570755
Organismal,FKBP5,-0.0201799461
Organismal,FKBPL,0.0274990935
Organismal,FLT1,-0.0794457956
Organismal,FLT3,-0.1451075861
Organismal,FLT3LG,0.3544002808
Organismal,FLT4,0.2919520531
Organismal,FN1,0.0006960407
Organismal,FNDC1,-0.0220163916
Organismal,FOLH1,-0.0768922582
Organismal,FOLR1,-0.2622627105
Organismal,FOLR2,0.0671907347
Organismal,FOS,0.0024340792
Organismal,FOSB,-0.0068866099
Organismal,FOXO1,-0.0468340984
Organismal,FOXO3,-0.05984441
Organismal,FRMD7,0.0219017871
Organismal,FSTL1,-0.3653145544
Organismal,FSTL3,0.076630377
Organismal,FTCD,0.0649314117
Organismal,FUCA1,-0.0108142731
Organismal,FURIN,0.2436678135
Organismal,FUS,-0.0520948753
Organismal,FUT1,-0.0341462891
Organismal,FUT3_FUT5,0.0689412571
Organismal,FXN,-0.1026838639
Organismal,FXYD5,-0.0603025231
Organismal,FZD10,-0.012521329
Organismal,FZD8,-0.0115997052
Organismal,GABARAP,-0.0091602722
Organismal,GABARAPL1,0.0128646312
Organismal,GALNT10,0.0189535183
Organismal,GALNT2,-0.021279602
Organismal,GALNT3,-0.0804851994
Organismal,GALNT7,-0.2221523516
Organismal,GAMT,0.0471015379
Organismal,GAPDH,-0.0758293319
Organismal,GART,0.0011331502
Organismal,GAS6,-0.6319464982
Organismal,GASK1A,-0.0054203225
Organismal,GATD3,0.1423693506
Organismal,GBA,-0.0181241778
Organismal,GBP1,-0.0222376515
Organismal,GBP4,0.0124889354
Organismal,GCHFR,-0.1978555779
Organismal,GCNT1,0.1626549251
Organismal,GDF15,0.9016636699
Organismal,GDNF,-0.0056370692
Organismal,GET3,-0.0205769446
Organismal,GFOD2,-0.00986712
Organismal,GFRA1,-0.1783448025
Organismal,GFRA2,0.0125479037
Organismal,GFRA3,0.0742906016
Organismal,GFRAL,0.4146539954
Organismal,GGA1,-0.000812346
Organismal,GGH,-0.1085491298
Organismal,GGT1,0.0039778429
Organismal,GGT5,-0.1805940585
Organismal,GID8,-0.0250757889
Organismal,GIGYF2,0.0384166192
Organismal,GIMAP7,0.0101954958
Organismal,GIMAP8,0.0780046786
Organismal,GIP,1.0624957356
Organismal,GIPC2,0.300132299
Organismal,GIPC3,-0.0961327991
Organismal,GLB1,0.1136074654
Organismal,GLO1,-0.0479185715
Organismal,GLRX,-0.0087659052
Organismal,GLRX5,-0.1134342269
Organismal,GLT8D2,-0.0079686993
Organismal,GMPR,0.0349593063
Organismal,GNAS,-0.1115633607
Organismal,GNPDA1,0.0356338593
Organismal,GNPDA2,0.2062218356
Organismal,GOT1,-0.0243843829
Organismal,GP1BA,0.1705520724
Organismal,GP1BB,0.0672093151
Organismal,GPD1,-0.1982902652
Organismal,GPHA2,0.0666948885
Organismal,GPI,-0.0279192108
Organismal,GPNMB,-0.1992256365
Organismal,GPR15L,0.0241654486
Organismal,GPRC5C,-0.0167247649
Organismal,GRAP2,0.1487082699
Organismal,GRHPR,-0.0514461258
Organismal,GRK5,-0.0464617918
Organismal,GRP,0.0002313152
Organismal,GRSF1,0.0372727011
Organismal,GSAP,-0.0060597036
Organismal,GSTM4,-0.0177552513
Organismal,GSTP1,0.0384186578
Organismal,GSTT2B,0.0125075749
Organismal,GTF2IRD1,-0.0252562435
Organismal,GTPBP2,0.0443466226
Organismal,GUK1,-0.02874959
Organismal,GUSB,-0.0082139991
Organismal,GYS1,0.0324117753
Organismal,HADH,0.0409932867
Organismal,HAGH,0.0301550015
Organismal,HBEGF,0.0111909436
Organismal,HBZ,0.0123162579
Organismal,HCG22,-0.0695461582
Organismal,HDAC8,0.0097987683
Organismal,HDAC9,0.0161267402
Organismal,HDDC2,-0.0391461777
Organismal,HDGF,0.0226438268
Organismal,HDGFL2,-0.0343340153
Organismal,HEBP1,-0.0149745899
Organismal,HEG1,-0.0523484209
Organismal,HEPACAM2,0.1681380806
Organismal,HEPH,0.0560987459
Organismal,HGF,-0.122849868
Organismal,HGS,-0.076380092
Organismal,HIF1A,-0.0085787296
Organismal,HIP1,-0.0098374567
Organismal,HIP1R,-0.0320655453
Organismal,HLA-A,0.0274117548
Organismal,HLA-DRA,-0.0207189942
Organismal,HMCN2,-0.1726560849
Organismal,HMOX2,-0.0001767025
Organismal,HNF1A,-0.0731696523
Organismal,HNMT,0.0443781701
Organismal,HPGDS,0.0907706151
Organismal,HRAS,-0.0427448789
Organismal,HRC,-0.2384718185
Organismal,HS3ST3B1,-0.0702319494
Organismal,HS6ST1,-0.0283084505
Organismal,HS6ST2,-0.1166601626
Organismal,HSBP1,0.0420438895
Organismal,HSD17B14,-0.0478122185
Organismal,HSD17B3,0.0309108218
Organismal,HSDL2,-0.0390655148
Organismal,HSP90B1,-0.0023919175
Organismal,HSPA1A,-0.2356492898
Organismal,HSPA2,-0.1070830463
Organismal,HSPB6,0.1108321002
Organismal,HSPG2,-0.6101240719
Organismal,HTR1B,0.0420546815
Organismal,HTRA2,-0.1933174663
Organismal,HYOU1,-0.039507622
Organismal,ICAM1,0.0173503864
Organismal,ICAM5,-0.0888174737
Organismal,ICOSLG,-0.1700518803
Organismal,IDO1,0.0810742529
Organismal,IFIT1,0.046193424
Organismal,IFIT3,0.0713976378
Organismal,IFNG,-0.0076244869
Organismal,IFNGR2,-0.0064243877
Organismal,IFNL2,-0.007806315
Organismal,IFNLR1,-0.0531865807
Organismal,IGBP1,0.0350547888
Organismal,IGDCC3,0.0040723773
Organismal,IGDCC4,-1.2218232612
Organismal,IGF1R,0.2235539494
Organismal,IGF2BP3,0.0302774628
Organismal,IGF2R,0.0731322854
Organismal,IGFBP2,0.0299474341
Organismal,IGFBP3,0.1046965433
Organismal,IGFBPL1,0.1030251845
Organismal,IGFL4,-0.0454763333
Organismal,IGHMBP2,-0.0679310658
Organismal,IGLC2,-0.1717207145
Organismal,IGSF3,-0.2116541761
Organismal,IGSF8,-0.3270963816
Organismal,IGSF9,0.2293152517
Organismal,IKBKG,0.0377693926
Organismal,IKZF2,-0.0102068259
Organismal,IL10,-0.0558024372
Organismal,IL10RA,-0.006461613
Organismal,IL11,0.006571239
Organismal,IL12A_IL12B,-0.0049124777
Organismal,IL12RB1,-0.0134582874
Organismal,IL12RB2,0.0276534675
Organismal,IL15,-0.4728010461
Organismal,IL17A,-0.0444772498
Organismal,IL17C,0.0444516268
Organismal,IL17D,0.5158101401
Organismal,IL17F,-0.0157427696
Organismal,IL17RB,0.0903747718
Organismal,IL18,0.0878541932
Organismal,IL18BP,0.1795150073
Organismal,IL19,0.0242041899
Organismal,IL1A,0.0355562328
Organismal,IL1R1,-0.0541355226
Organismal,IL1RAP,0.0452945982
Organismal,IL1RL1,-0.124904573
Organismal,IL1RL2,0.1519440381
Organismal,IL1RN,-0.0267177513
Organismal,IL20RA,0.0039678361
Organismal,IL20RB,0.0132204913
Organismal,IL22,0.0331814028
Organismal,IL24,0.0174284732
Organismal,IL2RA,0.0814116941
Organismal,IL3,-0.0011163441
Organismal,IL31RA,-0.0912324646
Organismal,IL33,0.0204501132
Organismal,IL36G,-0.0112750939
Organismal,IL3RA,-0.186587161
Organismal,IL4,-0.0058011243
Organismal,IL4R,-0.0179617647
Organismal,IL5RA,0.2074251902
Organismal,IL6,0.0708670677
Organismal,IL6R,-0.0897041927
Organismal,IL7,0.0302055287
Organismal,IL7R,-0.1788491837
