Tissue,Protein,Coefficient
Brain,CNTNAP4,0.0517618844
Brain,CRH,-0.1070340487
Brain,CRTAM,0.10501542
Brain,DNM1,-0.0449856155
Brain,DNM3,-0.0027696202
Brain,ENPP6,-0.2213010089
Brain,EXTL1,-0.0432848105
Brain,GFAP,0.3249027295
Brain,GPC5,-0.1283900056
Brain,GPR101,-0.0136916309
Brain,GPR158,-0.0050373421
Brain,GPR37,0.1566216969
Brain,GRIN2B,-0.0628561677
Brain,IGSF21,-0.1452929234
Brain,IL9,-0.0091956854
Brain,KCNIP4,-0.0205069578
Brain,KIAA1549L,0.0584010357
Brain,LCN15,0.1167279028
Brain,LHPP,-0.0106186728
Brain,LRTM2,-0.0791988766
Brain,MAP2,0.0500495476
Brain,MDGA1,-0.0077588309
Brain,MEGF11,0.0353868412
Brain,MEPE,-0.2927987233
Brain,MOG,0.2762397594
Brain,MZT1,-0.0624304717
Brain,NCAN,-0.2035487191
Brain,NEFL,0.6754781445
Brain,NPTX1,0.1262688025
Brain,NRGN,0.0645506447
Brain,OMG,-0.0551894716
Brain,OSTN,0.0003932435
Brain,OXT,-0.0032821822
Brain,PACS2,-0.0132137859
Brain,PENK,0.1408917559
Brain,PNMA2,0.0194984349
Brain,POLR2F,0.1212267487
Brain,PPP3R1,0.0032334
Brain,PTPRR,-0.2753819055
Brain,PTPRZ1,0.4579094799
Brain,PVALB,0.0188535355
Brain,QDPR,-0.0405705284
Brain,RGS8,-0.0201884224
Brain,RTN4R,0.0304582746
Brain,SCN2B,0.0054802879
Brain,SCRN1,-0.0178675995
Brain,SEPTIN3,0.0897627561
Brain,SEPTIN8,0.545705911
Brain,SEZ6,0.0499727842
Brain,SEZ6L,0.004168447
Brain,SLITRK1,-0.2681990119
Brain,SNAP25,0.0047583068
Brain,SPOCK1,0.4147130522
Brain,SYT1,0.0280841695
Brain,TMPRSS5,0.0280620401
Brain,TNR,-0.3050558597
Brain,TSPAN7,-0.0210136976
Brain,VSNL1,0.093208961
Brain,VSTM2B,-0.0309453071
Brain,VWC2L,-0.0457849253
Liver,A1BG,0.0738796057
Liver,AFM,0.3217820803
Liver,AGT,-0.0768905527
Liver,AHSG,-0.1001454412
Liver,AKR1C4,0.0085186562
Liver,AMBP,0.5088443569
Liver,ANG,0.1165284757
Liver,ANGPTL3,-0.0239679161
Liver,APCS,0.0067155775
Liver,APOA2,0.1363787016
Liver,APOC1,-0.0392331564
Liver,APOF,-0.0302852674
Liver,ASGR1,0.3960137307
Liver,ASGR2,0.1070666684
Liver,C4BPB,-0.0615571485
Liver,C8B,-0.0164692899
Liver,C9,0.0973433751
Liver,CCL16,0.1760142252
Liver,CFB,-0.1182012371
Liver,CFHR4,0.0381187074
Liver,CFHR5,0.0485021428
Liver,CLEC4M,-0.0804504123
Liver,CPB2,0.1156677852
Liver,DCXR,-0.0354487228
Liver,DHODH,-0.0099196893
Liver,EPO,0.0929313339
Liver,F11,-0.1691471489
Liver,F12,-0.0014010808
Liver,F13B,-0.2686890156
Liver,F7,-0.3734832229
Liver,F9,0.239460105
Liver,FETUB,-0.0748755838
Liver,FGA,0.4275163619
Liver,FGF21,0.097412567
Liver,FGL1,0.1683318886
Liver,GC,-0.0155417358
Liver,GDF2,-0.1451208201
Liver,HAO1,0.0424119758
Liver,HGFAC,-0.039687485
Liver,HRG,-0.0063064109
Liver,HSD11B1,-0.0146451561
Liver,IGFBP1,0.0518336197
Liver,INHBC,0.0039491606
Liver,ITIH3,0.3138882061
Liver,KLKB1,-0.32886226
Liver,LBP,-0.0122238609
Liver,LECT2,0.2873615498
Liver,LPA,0.0011529511
Liver,MBL2,0.0451785759
Liver,MST1,0.0051340106
Liver,ORM1,0.0113194077
Liver,PGLYRP2,0.0288732436
Liver,PLG,-0.0627059227
Liver,PON1,-0.1991652553
Liver,PON3,-0.1847585845
Liver,PROC,-0.1948182303
Liver,PZP,-0.1777880419
Liver,SERPINA1,0.7243619333
Liver,SERPINA11,0.1782862628
Liver,SERPINA6,-0.0277377021
Liver,SERPIND1,0.1352791808
Liver,SERPINF2,-1.2714322726
Liver,UPB1,-0.0689949832
Multi-organ,ADIPOQ,0.0035672114
Multi-organ,AGER,-0.2820183
Multi-organ,AHSP,0.0111731771
Multi-organ,ALPI,-0.0235174301
Multi-organ,ALPP,0.0494814033
Multi-organ,APLP1,-0.0514176405
Multi-organ,BCAN,-0.207077697
Multi-organ,C1QL2,-0.0346461812
Multi-organ,C9,0.0121612689
Multi-organ,CA14,-0.268163818
Multi-organ,CA3,0.0193826228
Multi-organ,CA6,-0.0717505506
Multi-organ,CCL18,0.0247997
Multi-organ,CD177,-0.0061259556
Multi-organ,CDHR2,0.0184520695
Multi-organ,CELA2A,-0.0556456272
Multi-organ,CNDP1,-0.1001677847
Multi-organ,CNTNAP4,0.0148190582
Multi-organ,CPA2,-0.0198385868
Multi-organ,CRH,-0.0431127825
Multi-organ,CXCL13,0.0294220513
Multi-organ,CYP24A1,0.0014939554
Multi-organ,DCXR,-0.0993226468
Multi-organ,DEFB4A_DEFB4B,0.0159105379
Multi-organ,DNM1,-0.0138926632
Multi-organ,DSG4,-0.0450360735
Multi-organ,ELN,0.1596445834
Multi-organ,ENO3,-0.0592614957
Multi-organ,EPO,0.0343291962
Multi-organ,FABP6,-0.0163506202
Multi-organ,FASLG,-0.1184194127
Multi-organ,FGF21,0.0133882561
Multi-organ,FGL1,0.0423585771
Multi-organ,FOLR3,-0.0030333415
Multi-organ,GAL,-0.0074327045
Multi-organ,GAST,0.0299473387
Multi-organ,GCG,-0.0303579167
Multi-organ,GFAP,0.1553088123
Multi-organ,GHRL,-0.01176034
Multi-organ,GJA8,-0.0078461937
Multi-organ,GNLY,-0.0041495635
Multi-organ,GP2,0.0637247224
Multi-organ,GPA33,-0.0152861032
Multi-organ,GPC5,-0.0030154698
Multi-organ,GRIN2B,-0.0027312748
Multi-organ,GZMB,-0.0065530757
Multi-organ,HAO1,0.0243305256
Multi-organ,HAVCR1,0.1748878836
Multi-organ,IGSF21,-0.0210103779
Multi-organ,IL18RAP,-0.004905123
Multi-organ,ITGAM,-0.0991852066
Multi-organ,ITIH3,0.0133754691
Multi-organ,KIR2DL3,0.0194700537
Multi-organ,KLK3,0.0826415418
Multi-organ,KLK4,0.1004116465
Multi-organ,LACRT,-0.0025392593
Multi-organ,LAMP3,0.1165340293
Multi-organ,LCN15,0.0054138416
Multi-organ,LCP1,-0.0175763102
Multi-organ,LECT2,0.0075090949
Multi-organ,LGALS4,0.055883612
Multi-organ,LHB,-0.0205482034
Multi-organ,LTBP2,0.675951778
Multi-organ,MEP1B,-0.0215127945
Multi-organ,MLN,0.0152309063
Multi-organ,MMP9,0.0904138844
Multi-organ,MYBPC1,0.050956019
Multi-organ,MYBPC2,0.0024438401
Multi-organ,MYLPF,0.012969245
Multi-organ,MZB1,0.0517450195
Multi-organ,NCAN,-0.0978515095
Multi-organ,NEFL,0.3990830197
Multi-organ,NPPB,0.0664199519
Multi-organ,ODAM,-0.0431619207
Multi-organ,OMG,-0.0009847736
Multi-organ,OXT,0.0041066297
Multi-organ,PGR,-0.0035450978
Multi-organ,PLA2G1B,-0.0289259852
Multi-organ,PNLIPRP1,-0.0138140712
Multi-organ,PNLIPRP2,0.0003556002
Multi-organ,PPY,0.0077673053
Multi-organ,PYY,0.0161941425
Multi-organ,REG1B,0.0391806802
Multi-organ,REG4,0.0669985554
Multi-organ,REN,0.1108186541
Multi-organ,RNASE3,-0.0117720674
Multi-organ,SCGB3A2,0.0055174222
Multi-organ,SEPTIN3,0.0066568642
Multi-organ,SERPINA12,-0.0038094413
Multi-organ,SFTPA1,0.0403313676
Multi-organ,SFTPA2,0.0198165727
Multi-organ,SFTPD,0.1148016678
Multi-organ,SIGLEC5,0.0129185098
Multi-organ,SLITRK1,-0.0726280322
Multi-organ,SOST,-0.0513144228
Multi-organ,SPINK1,0.0035419016
Multi-organ,SPINK4,0.0368477898
Multi-organ,TNFRSF11B,0.0549880518
Multi-organ,TNR,-0.2141998556
Multi-organ,UMOD,-0.0107703255
Multi-organ,WFIKKN2,-0.0060473231
Adipose,ADIPOQ,0.0246326125
Adipose,CD300LG,-0.0830152996
Adipose,FABP4,0.7102605252
Adipose,LEP,-0.2432962344
Adipose,PLIN1,-0.0793138505
Organismal,ABO,0.0182045141
Organismal,ACE2,0.021875143
Organismal,ACTA2,0.0551074778
Organismal,ACY1,-0.0335702462
Organismal,ADA2,0.0209862755
Organismal,ADAMTS15,-0.0327785626
Organismal,ADAMTS8,-0.0282982093
Organismal,ADAMTSL5,-0.0305378867
Organismal,ADGRG1,0.0378135193
Organismal,ADH1B,-0.0034515579
Organismal,AFP,0.0215717016
Organismal,AGR2,0.0305472186
Organismal,AKT3,-0.0197565916
Organismal,AMPD3,0.0135785519
Organismal,ANGPT2,0.0194403396
Organismal,APOE,-0.0476963545
Organismal,AREG,0.0623340835
Organismal,ART3,-0.1301482077
Organismal,ATXN2,-0.0058266548
Organismal,BAG3,-0.0623886471
Organismal,BCL2,0.0073881813
Organismal,BGLAP,0.0143409802
Organismal,BPIFB1,0.0085870564
Organismal,BRK1,0.0414007922
Organismal,C7,0.0138975317
Organismal,CA4,-0.0575515133
Organismal,CALCA,0.0581569192
Organismal,CCDC80,0.0188939817
Organismal,CCL17,0.0056826673
Organismal,CCL2,-0.030858362
Organismal,CCL20,-0.0141974158
Organismal,CCL24,0.0080587225
Organismal,CCNE1,-0.0114043227
Organismal,CD160,-0.0294782007
Organismal,CD3G,0.001461
Organismal,CD83,-0.0168100251
Organismal,CDA,-0.0220924245
Organismal,CDCP1,0.0507424987
Organismal,CEACAM16,-0.0132453074
Organismal,CEACAM5,0.1619530919
Organismal,CES1,-0.0057333601
Organismal,CES2,-0.0023001432
Organismal,CHAD,-0.026164171
Organismal,CHGA,0.0223908567
Organismal,CILP,0.0211027715
Organismal,CKB,0.0137386342
Organismal,CLEC4C,-0.0229582087
Organismal,COL24A1,0.0290889424
Organismal,CRNN,-0.0043633849
Organismal,CRTAC1,-0.0042201253
Organismal,CRYBB2,0.0233146742
Organismal,CSF3,-0.0412618678
Organismal,CSRP3,0.0229563764
Organismal,CTHRC1,0.0732983143
Organismal,CXCL11,0.0012592874
Organismal,CXCL14,0.0050628948
Organismal,CXCL17,0.0866951782
Organismal,CXCL8,0.0426421292
Organismal,CXCL9,0.0065055026
Organismal,CYB5A,-0.0229164819
Organismal,DBH,-0.0004648276
Organismal,DDC,-0.046316741
Organismal,DKK4,-0.0109035206
Organismal,DMP1,-0.0110964471
Organismal,DPP4,-0.0175803387
Organismal,DRAXIN,-6.44401e-05
Organismal,DUOX2,0.0075587008
Organismal,DUSP13,-0.0766047824
Organismal,EDA2R,0.3219050229
Organismal,EDAR,-0.0164297281
Organismal,ENDOU,-0.0069837602
Organismal,EPCAM,-0.0183425548
Organismal,FAM3D,0.0017957912
Organismal,FBP1,-0.0012520169
Organismal,FCRL1,-0.0151936237
Organismal,FCRLB,0.0357510777
Organismal,FES,0.0221642352
Organismal,FGF7,-0.0094189407
Organismal,FGFBP2,-0.033832974
Organismal,FKBP5,0.0081176438
Organismal,FLI1,-0.0003493971
Organismal,FOXO3,-0.0165972706
Organismal,FUCA1,-0.0077984732
Organismal,FUOM,-0.0268537706
Organismal,FUT3_FUT5,0.0285214442
Organismal,GALNT5,0.011693301
Organismal,GDF15,0.318245448
Organismal,GIP,0.0641044544
Organismal,GOLGA3,0.0107272355
Organismal,GPD1,-0.0044221887
Organismal,GPIHBP1,-0.0212134414
Organismal,HADH,-0.0107940256
Organismal,HBZ,-0.005860221
Organismal,HCG22,-0.0151333198
Organismal,HGF,0.0466578556
Organismal,HPGDS,-0.1040001968
Organismal,HRAS,-0.0087123106
Organismal,HSDL2,-0.0265121667
Organismal,IFNG,-0.02959689
Organismal,IGFBP2,0.0077065502
Organismal,IGFBP7,0.003358251
Organismal,IL19,0.0324377354
Organismal,IL1RL1,0.0217451423
Organismal,IL22,0.0514426608
Organismal,IL6,0.0677890985
Organismal,IL7R,-0.0865564743
Organismal,ITGA11,-0.0091400693
Organismal,ITM2A,-0.0007854544
Organismal,KIF22,0.0088497033
Organismal,KIR2DL2,0.0022927244
Organismal,KIT,-0.0505297454
Organismal,KLB,-0.0021550443
Organismal,KLK14,-0.0162730771
Organismal,KLK8,-0.0712625907
Organismal,KRT19,0.0450947607
Organismal,KYNU,-0.0055648829
Organismal,LDLR,-0.0014478085
Organismal,LIF,-0.0014051359
Organismal,LILRA3,-0.0063669885
Organismal,LRRN1,-0.0350181462
Organismal,LYSMD3,-0.0009275652
Organismal,MICB_MICA,0.0140056969
Organismal,MMP10,-0.1067255264
Organismal,MMP12,0.1225971058
Organismal,MMP3,0.0241067303
Organismal,MMP7,0.0188458049
Organismal,MSR1,0.0219979206
Organismal,MSTN,-0.0068902002
Organismal,MTSS1,-0.0108281572
Organismal,MUC16,0.0019243123
Organismal,NDUFB7,-0.0192268383
Organismal,NPY,-0.0229453398
Organismal,NTF3,-0.0365350555
Organismal,NTF4,-0.049303887
Organismal,NTproBNP,0.0935667079
Organismal,OBP2B,-0.0155353658
Organismal,OCLN,0.0014731236
Organismal,PAPPA,0.0156266436
Organismal,PDZD2,0.0122753095
Organismal,PHLDB2,-0.0003472835
Organismal,PINLYP,-0.022221192
Organismal,PITHD1,0.0055990311
Organismal,PLAT,0.1412428506
Organismal,PLB1,-0.0248233701
Organismal,PM20D1,-0.0064935509
Organismal,PNPT1,-0.0156302822
Organismal,PPP1R14A,-0.0068334206
Organismal,PPT1,-0.0097088164
Organismal,PROK1,0.0184306535
Organismal,PRRT3,-0.0794841692
Organismal,PRSS8,0.0863748486
Organismal,PSCA,-0.0071813778
Organismal,PSG1,0.0248989967
Organismal,PSPN,0.0109299051
Organismal,PTGR1,-0.0410306777
Organismal,PTN,0.0897586386
Organismal,PTS,-0.0022261033
Organismal,RBFOX3,0.1437028867
Organismal,RBPMS,0.011875353
Organismal,REG3A,0.0153692734
Organismal,RET,-0.1253138718
Organismal,RGL2,-0.006068378
Organismal,RLN2,-0.0744740351
Organismal,SARG,-0.002022293
Organismal,SCG2,-0.0093629526
Organismal,SCG3,-0.0416685301
Organismal,SCGB3A1,0.0208432015
Organismal,SCIN,-0.0211795697
Organismal,SCLY,-0.0117151863
Organismal,SDC4,-0.0340902899
Organismal,SELE,-0.0423739017
Organismal,SERPINA9,-0.0018010347
Organismal,SERPINH1,0.0050931463
Organismal,SFRP1,0.0746457601
Organismal,SH2D1A,-0.0136662549
Organismal,SH3GL3,-0.0175269042
Organismal,SHC1,-0.0182242007
Organismal,SHD,0.0078013803
Organismal,SKAP1,-0.0697112662
Organismal,SLITRK2,-0.0472037191
Organismal,SMC3,0.0175504241
Organismal,SPON1,0.0563725916
Organismal,SPP1,0.0051843328
Organismal,SRPX,0.0056028547
Organismal,SSC4D,-0.0260074839
Organismal,STC1,0.0292419543
Organismal,TCL1B,-0.0150757269
Organismal,TGM2,0.0195262228
Organismal,THRAP3,0.0003089267
Organismal,TIMP3,0.0025861056
Organismal,TLR3,-0.0032566756
Organismal,TMEM106A,0.0170166693
Organismal,TNFRSF10B,0.0456605979
Organismal,TNFRSF6B,0.0509758883
Organismal,TNFSF11,-0.0360576116
Organismal,TNN,-0.0120539931
Organismal,TNXB,-0.0112706485
Organismal,TPK1,-0.0097793616
Organismal,TREH,-0.0075312981
Organismal,TRIM21,-0.0201936818
Organismal,TSPAN1,0.0743156865
Organismal,TSPAN8,0.0158943864
Organismal,VEGFA,0.0018931282
Organismal,VGF,-0.2470605788
Organismal,WFDC2,0.2196526784
Organismal,XG,-0.1226857241
Organismal,ZNRD2,0.0435956939
Artery,ACAN,-0.6926099014
Artery,BGN,-0.1203720748
Artery,CRLF1,0.0043202287
Artery,CYTL1,0.327537988
Artery,ELN,0.5739242443
Artery,ITGBL1,0.2081532907
Artery,LTBP2,0.9063835993
Artery,MFGE8,0.0507851904
Artery,SUSD5,0.1665250469
Artery,THBS2,0.0204575877
Artery,TNFRSF11B,0.525747787
Kidney,CYP24A1,0.0217842115
Kidney,HAVCR1,0.5468941284
Kidney,REN,0.3015900978
Kidney,UMOD,-0.2387586449
Esophagus,ANXA1,0.2765852723
Esophagus,CST5,0.2342868534
Esophagus,DEFB4A_DEFB4B,0.1435688481
Esophagus,GBP6,-0.0355254552
Intestine,ALPI,-0.0862577855
Intestine,APOA4,-0.2168310977
Intestine,CA7,-0.0433417128
Intestine,CCL25,0.1154242522
Intestine,CDH17,-0.0716671384
Intestine,CDHR2,0.2568081673
Intestine,CDHR5,-0.2061073999
Intestine,CEACAM18,0.0002991133
Intestine,CEACAM20,0.1530166501
Intestine,FABP2,-0.2324825587
Intestine,FABP6,-0.1192905579
Intestine,GPA33,-0.0554932084
Intestine,GUCA2A,0.3076071197
Intestine,GUCY2C,-0.003045885
Intestine,INSL5,0.0608246835
Intestine,LGALS4,0.3993890714
Intestine,LYPD8,0.0652325021
Intestine,MEP1A,0.1100784188
Intestine,MEP1B,-0.0910877609
Intestine,MLN,0.124565309
Intestine,MUC13,0.0077080468
Intestine,MUC2,-0.0003634087
Intestine,NXPE4,-0.0472891095
Intestine,PPP1R14D,-0.0225599271
Intestine,PYY,0.029067885
Intestine,RBP2,0.1513113854
Intestine,REG4,0.3322379288
Intestine,S100G,0.1008900389
Intestine,SPINK4,0.1419948404
Intestine,TMPRSS15,-0.0442310332
Stomach,GAST,0.1132578188
Stomach,GHRL,-0.0528245776
Stomach,LIPF,-0.0730767582
Stomach,PGA4,0.1082044558
Stomach,TFF1,0.1380526283
Stomach,TFF2,0.3261408292
Pancreas,AMY2A,-0.0711731865
Pancreas,CELA2A,-0.1372702949
Pancreas,CELA3A,-0.0070424133
Pancreas,CLPS,0.0273543953
Pancreas,CPA2,-0.1487890431
Pancreas,CPB1,0.1481120499
Pancreas,CTRB1,-0.1995099768
Pancreas,CTRC,-0.1025936947
Pancreas,CTRL,0.1548554753
Pancreas,CUZD1,-0.0528538105
Pancreas,GCG,-0.0465896977
Pancreas,GP2,0.195276679
Pancreas,KIRREL2,-0.0565651067
Pancreas,KLK1,0.0602235757
Pancreas,PLA2G1B,-0.5273671672
Pancreas,PNLIP,-0.1402385645
Pancreas,PNLIPRP1,-0.0155162787
Pancreas,PNLIPRP2,0.0012193805
Pancreas,PPY,0.1194455617
Pancreas,PRSS2,0.5167060204
Pancreas,REG1A,0.1885247756
Pancreas,REG1B,0.0965480708
Pancreas,REG3G,0.0254955261
Pancreas,SEL1L,0.3994941504
Pancreas,SERPINI2,-0.2091493088
Pancreas,SPINK1,0.6417407339
Female,ESR1,0.0685881934
Female,LEFTY2,0.1618990596
Female,PAEP,-0.0786038673
Female,PGR,-0.0923335915
Female,WFIKKN2,-0.2936514076
Female,ZP4,-0.0223325367
Lung,AGER,-0.2413962576
Lung,ALPP,0.0375800204
Lung,CCL18,0.2052760349
Lung,LAMP3,0.5255580395
Lung,SCGB1A1,0.0667833558
Lung,SCGB3A2,0.0294164142
Lung,SFTPA1,0.0599084701
Lung,SFTPA2,0.0500262002
Lung,SFTPD,0.189882216
Immune,ADGRE1,-0.138416364
Immune,ADGRE2,0.3105398409
Immune,AHSP,0.0054497478
Immune,AIF1,0.0674031468
Immune,ARHGAP30,-0.0077094938
Immune,AZU1,-0.01293149
Immune,BIN2,-0.0326044489
Immune,BST1,0.0197249521
Immune,CCL5,0.0187895221
Immune,CD177,-0.0164452493
Immune,CD300A,0.129169981
Immune,CD5L,0.0183988271
Immune,CD7,-0.0184589748
Immune,CD72,0.0685782714
Immune,CD8A,-0.1220609022
Immune,CEACAM21,0.0007186921
Immune,CEACAM8,0.1468736075
Immune,CFP,-0.495060314
Immune,CLC,0.0305519367
Immune,CLEC12A,0.0395607277
Immune,CLEC4D,0.0223088529
Immune,CORO1A,0.0353514917
Immune,CSF1R,0.1217653615
Immune,CSF2RA,0.0434345321
Immune,CSF3R,-0.1115697673
Immune,CST7,0.0088442469
Immune,CXCL1,-0.0003585153
Immune,CXCL13,0.1669240739
Immune,CXCL6,0.0388652287
Immune,FASLG,-0.5096250485
Immune,FCGR2A,0.0370299405
Immune,FCGR3B,-0.084902024
Immune,FCN1,0.014060195
Immune,FMNL1,-0.0233603269
Immune,FOLR3,-0.0026880992
Immune,GZMA,-0.0162608403
Immune,GZMB,-0.0646872826
Immune,GZMH,0.0774041049
Immune,HBQ1,-0.0371104053
Immune,HCLS1,0.0298587876
Immune,ICAM3,0.1690949148
Immune,IL18RAP,-0.0315218293
Immune,IL1R2,-0.0804169493
Immune,IL2RG,0.0272775186
Immune,ITGAM,-0.5210001943
Immune,KIR2DL3,0.0829659245
Immune,KIR2DS4,0.0096495372
Immune,KLRF1,0.050569298
Immune,LCP1,-0.0568835848
Immune,LILRA5,0.0049494594
Immune,LILRA6,0.0147588115
Immune,LILRB2,0.113270181
Immune,LRRC25,0.0201886805
Immune,LRTM1,-0.0168649051
Immune,MCEMP1,0.0292047442
Immune,MMP8,0.0167456478
Immune,MMP9,0.2284439435
Immune,MPO,0.0234011773
Immune,MZB1,0.1894567544
Immune,NCF2,-0.0126541486
Immune,OSM,-0.0659450904
Immune,PADI4,0.0100024679
Immune,PF4,0.0423125499
Immune,PGLYRP1,0.0106782948
Immune,PILRA,0.1551647033
Immune,PRG2,0.4813808834
Immune,PRG3,-0.350822159
Immune,PRTN3,-0.0184929414
Immune,PSTPIP2,0.0259459305
Immune,PTPRC,0.0144865109
Immune,RETN,-0.078472927
Immune,RNASE3,-0.0425475471
Immune,RNF149,0.3492704324
Immune,S100A12,0.0451305404
Immune,SELL,-0.5940391288
Immune,SELPLG,-0.1593423664
Immune,SIGLEC5,0.024464859
Immune,SIGLEC7,0.5907421288
Immune,SIRPB1,-0.0137598332
Immune,SLA2,-0.0539791484
Immune,TLR1,0.0976475328
Immune,TNFAIP8L2,-0.072719855
Immune,TNFRSF10C,0.0629386948
Immune,TNFRSF1B,0.2185152111
Immune,TREML2,-0.4647801425
Skin,CA6,-0.3718379129
Skin,CCL27,0.3176014813
Skin,CD207,0.181005678
Skin,CDHR1,-0.0468440309
Skin,CDSN,0.2546779471
Skin,DSG4,-0.334715261
Skin,FABP9,-0.0784302448
Skin,POF1B,0.3523308318
Skin,PSAPL1,0.0041668261
Skin,S100A3,0.0378654341
Skin,SERPINA12,-0.0239698654
Skin,SPINT3,0.0826123039
Conventional,ABO,0.0041864413
Conventional,ADGRG1,0.0296162209
Conventional,AGER,-0.1969887602
Conventional,AGR2,0.0329600335
Conventional,ALPI,-0.006392052
Conventional,AMPD3,0.0017821855
Conventional,APLP1,-0.0035978183
Conventional,APOE,-0.0200321805
Conventional,AREG,0.0543623665
Conventional,ART3,-0.1356170088
Conventional,ATXN2,-0.0040486163
Conventional,BCAN,-0.1270214087
Conventional,C1QL2,-0.0285494917
Conventional,CA14,-0.1977989161
Conventional,CA2,0.0056480562
Conventional,CA6,-0.0397505496
Conventional,CALCA,0.0455299231
Conventional,CCL17,0.0045853264
Conventional,CCL24,0.0073181171
Conventional,CCL5,0.0025481502
Conventional,CCNE1,-0.0008681649
Conventional,CD177,-0.0024670974
Conventional,CDCP1,0.0184046966
Conventional,CEACAM5,0.1618007079
Conventional,CELA2A,-0.0115723701
Conventional,CLEC4C,-0.0025558494
Conventional,CNDP1,-0.0340853554
Conventional,CNTNAP4,0.0098667793
Conventional,COL24A1,0.0129714503
Conventional,CPA2,-0.0122689074
Conventional,CRH,-0.0292593672
Conventional,CSRP3,0.0105884461
Conventional,CXCL11,0.0014468187
Conventional,CXCL13,0.0014598202
Conventional,CXCL17,0.0450188608
Conventional,CXCL8,0.0263881078
Conventional,CYB5A,-0.0010488701
Conventional,DCTN2,0.0013967411
Conventional,DCXR,-0.0739019186
Conventional,DDC,-0.0217144911
Conventional,DEFB4A_DEFB4B,0.0011575954
Conventional,DNM1,-0.0046582876
Conventional,DSG4,-0.0257630184
Conventional,DUSP13,-0.0096036746
Conventional,EDA2R,0.2192330445
Conventional,EDAR,-0.0055510304
Conventional,ELN,0.0292529342
Conventional,FABP2,-0.0058471991
Conventional,FABP6,-0.0191663517
Conventional,FASLG,-0.0134998869
Conventional,FCRLB,0.01754546
Conventional,FGF7,-0.0034665522
Conventional,FGFBP2,-0.0349222466
Conventional,FOLR3,-0.0024613467
Conventional,FOXO3,-0.0046563114
Conventional,FUCA1,-0.0011156342
Conventional,FUT3_FUT5,0.0248919723
Conventional,GAST,0.0115789884
Conventional,GCG,-0.0189142405
Conventional,GDF15,0.2619690921
Conventional,GFAP,0.1170015084
Conventional,GIP,0.030591079
Conventional,GP2,0.0559626232
Conventional,GPA33,-0.0135401396
Conventional,GPIHBP1,-0.0036476018
Conventional,GZMB,-0.0132612951
Conventional,HADH,-0.0025131728
Conventional,HAO1,0.0007839253
